,name_food,calories,link
152,Empedrat de garbanzos,358,https://queapetito.com/receta-empedrat-garbanzos/
153,Espinacas a la Catalana,168,https://queapetito.com/receta-espinacas-catalana/
154,Ensalada de manzana y remolacha,120,https://queapetito.com/receta-ensalada-manzana-remolacha/
155,Escarola con naranja,80,https://queapetito.com/receta-escarola-naranja/
156,Escarola con granada,53,https://queapetito.com/receta-escarola-granada/
157,Ensalada de pomelo y aguacate,410,https://queapetito.com/receta-ensalada-pomelo-aguacate/
158,Ensalada templada de gambas y zamburiñas,180,https://queapetito.com/receta-ensalada-templada-gambas-zamburinas/
159,Empedrat de alubias y bacalao,160,https://queapetito.com/receta-empedrat-alubias-bacalao/
160,Ensalada de naranja y miel,120,https://queapetito.com/receta-ensalada-naranja-miel/
161,"Ensalada de tofu marinado, aguacate y canónigos",220,https://queapetito.com/receta-ensalada-tofu-marinado-aguacate-canonigos/
162,Ensaladilla de pollo fácil,180,https://queapetito.com/receta-ensaladilla-pollo-facil/
163,Ensalada de manzana y queso,472,https://queapetito.com/receta-ensalada-manzana-queso/
164,Ensalada de Palmitos,60,https://queapetito.com/receta-ensalada-palmitos/
165,Ensalada de Pepino,102,https://queapetito.com/receta-ensalada-pepino/
166,Ensalada templada con tofu,100,https://queapetito.com/receta-ensalada-templada-tofu/
167,Ensalada de lentejas y quinoa vegana,375,https://queapetito.com/receta-ensalada-lentejas-quinoa-vegana/
168,Endivias a la vinagreta,380,https://queapetito.com/receta-endivias-vinagreta/
169,Judias verdes con patatas y huevos,200,https://queapetito.com/receta-judias-verdes-patatas-huevos/
170,Ensalada de endivias con anchoas,145,https://queapetito.com/receta-ensalada-endivias-anchoas/
171,Ensalada de Quínoa y Mango,288,https://queapetito.com/receta-ensalada-quinoa-mango/
172,Quinoa con almendras y pasas,220,https://queapetito.com/receta-quinoa-almendras-pasas/
173,Ensalada de pollo y aguacate,210,https://queapetito.com/receta-ensalada-pollo-aguacate/
174,Ensaladilla de remolacha,200,https://queapetito.com/receta-ensaladilla-remolacha/
175,Ensalada de endibias y aguacate,290,https://queapetito.com/receta-ensalada-endibias-aguacate/
176,Ensalada de higos y queso de cabra,120,https://queapetito.com/receta-ensalada-higos-queso-cabra/
177,Ensalada de repollo y zanahoria,180,https://queapetito.com/receta-ensalada-repollo-zanahoria/
178,Ensalada de sandía y queso,170,https://queapetito.com/receta-ensalada-sandia-queso/
179,Ensalada de pollo y manzana,290,https://queapetito.com/receta-ensalada-pollo-manzana/
180,Ensalada de maíz y aguacate,260,https://queapetito.com/receta-ensalada-maiz-aguacate/
181,Ensalada con manzana y naranja,110,https://queapetito.com/receta-ensalada-manzana-naranja/
182,Ensalada de espinacas y salmón ahumado,282,https://queapetito.com/receta-ensalada-espinacas-salmon-ahumado/
183,Ensalada de manzana y tomate,150,https://queapetito.com/receta-ensalada-manzana-tomate/
184,Ensalada de arroz al curry y pasas,240,https://queapetito.com/receta-ensalada-arroz-curry-pasas/
185,Alubias rojas y quinoa,190,https://queapetito.com/receta-alubias-rojas-quinoa/
186,Ensalada de champiñones laminados,66,https://queapetito.com/receta-ensalada-champinones-laminados/
187,Ensalada de alubias rojas,130,https://queapetito.com/receta-ensalada-alubias-rojas/
188,Ensalada con manzana asada,182,https://queapetito.com/receta-ensalada-manzana-asada/
189,Ensalada de Puerros,400,https://queapetito.com/receta-ensalada-puerros/
190,Ensalada templada de espinacas fritas,220,https://queapetito.com/receta-ensalada-templada-espinacas-fritas/
191,Ensalada de maíz y pepino,32,https://queapetito.com/receta-ensalada-maiz-pepino/
